기업명,자기자본비율,부채비율,유동비율,유동부채비율,비유동부채비율,비유동비율,금융비용부담률,재무레버리지,비유동적합률,유동자산구성비율,재고자산구성비율,유동자산/비유동자산비율,재고자산/유동자산비율
손오공,48.753,105.114,100.023,90.133,14.982,114.961,7.01,205.114,99.982,43.953,11.37,78.421,25.868
스튜디오삼익,73.526,36.006,265.379,35.042,0.964,43.012,,136.006,42.601,68.375,,216.204,
신라에스지,37.859,164.139,150.181,79.903,84.236,144.139,1.216,264.139,78.236,45.431,39.153,83.253,86.182
실리콘투,57.145,74.992,156.914,72.38,2.613,61.418,,174.992,59.855,64.902,31.878,184.918,49.118
아가방컴퍼니,74.878,33.55,273.432,25.199,8.351,64.647,0.622,133.55,59.665,51.593,27.087,106.583,52.501
아이로보틱스,82.756,20.838,236.464,18.354,2.484,77.438,9.949,120.838,75.561,35.916,2.869,56.044,7.987
안트로젠,94.946,5.323,3042.07,1.344,3.979,64.425,6.498,105.323,61.959,38.832,0.935,63.483,2.408
애머릿지,81.747,22.328,245.256,11.561,10.767,93.974,2.291,122.328,84.839,23.179,2.99,30.172,12.898
에스에이엠티,51.689,93.463,183.299,91.182,2.281,26.328,0.476,193.463,25.741,86.391,39.121,634.822,45.283
에스티큐브,84.247,18.699,2766.62,3.76,14.939,14.675,3.287,118.699,12.768,87.637,1.287,708.842,1.468
에스피소프트,81.528,22.657,356.895,20.48,2.177,49.564,0.836,122.657,48.508,59.591,,147.471,
에이유브랜즈,72.819,37.327,377.256,18.022,19.305,69.339,0.642,137.327,58.119,49.508,13.759,98.05,27.791
엑시온그룹,77.427,29.155,221.191,27.235,1.92,68.914,7.752,129.155,67.616,46.643,1.326,87.416,2.843
엠젠솔루션,61.773,61.883,168.24,55.403,6.48,68.674,5.844,161.883,64.494,57.578,2.175,135.728,3.778
예스24,41.625,140.243,52.727,112.06,28.183,181.157,1.287,240.243,141.328,24.594,11.798,32.616,47.972
오토앤,41.686,139.889,145.313,121.511,18.378,63.318,4.525,239.889,53.488,73.605,16.796,278.866,22.819
오하임앤컴퍼니,55.82,79.147,175.474,76.139,3.008,45.543,-10.735,179.147,44.213,74.578,9.294,293.357,12.462
우리로,66.313,50.799,267.842,43.185,7.614,35.13,4.456,150.799,32.645,76.704,27.223,329.257,35.491
우리엔터프라이즈,48.179,107.559,144.059,85.377,22.182,84.565,0.456,207.559,69.213,59.257,15.68,145.441,26.46
원익,75.51,32.433,94.65,16.49,15.943,116.825,2.066,132.433,100.761,11.785,4.235,13.36,35.936
원익큐브,69.687,43.498,267.613,41.439,2.059,32.601,1.581,143.498,31.944,77.281,23.47,340.158,30.37
위즈코프,80.048,24.925,233.262,14.152,10.773,91.913,1.936,124.925,82.975,26.425,1.269,35.916,4.801
유니트론텍,42.33,136.239,186.633,106.256,29.983,37.931,3.945,236.239,29.181,83.944,32.301,522.816,38.479
이글벳,79.347,26.029,278.668,20.73,5.298,68.26,1.503,126.029,64.825,45.838,17.958,84.631,39.176
이상네트웍스,82.385,21.381,399.304,13.272,8.109,68.386,2.199,121.381,63.256,43.661,7.46,77.495,17.086
이트론,80.344,24.465,354.564,16.643,7.822,65.456,17.158,124.465,60.707,47.411,3.57,90.152,7.529
인콘,93.716,6.705,944.383,6.379,0.327,46.466,0.765,106.705,46.315,56.454,2.085,129.641,3.693
인크레더블버즈,97.002,3.091,2833.776,2.825,0.266,23.034,98.215,103.091,22.973,77.657,2.74,347.564,3.529
일월지엠엘,72.436,38.053,279.111,37.576,0.477,33.175,2.542,138.053,33.017,75.97,6.019,316.142,7.923
정원엔시스,47.02,112.676,157.31,103.721,8.954,49.512,0.332,212.676,45.443,76.72,20.506,329.547,26.729
제로투세븐,89.723,11.454,536.516,10.775,0.678,53.642,1.059,111.454,53.281,51.871,22.243,107.773,42.883
제이씨현시스템,71.47,39.919,264.004,35.07,4.848,47.332,1.916,139.919,45.143,66.172,20.106,195.613,30.385
중앙에너비스,93.304,7.177,458.576,4.299,2.878,87.463,0.223,107.177,85.016,18.394,3.255,22.54,17.694
지더블유바이텍,61.113,63.63,32.812,60.689,2.941,143.717,6.237,163.63,139.611,12.17,4.54,13.856,37.31
청담글로벌,45.873,117.992,206.704,92.463,25.529,26.867,1.501,217.992,21.403,87.675,13.299,711.386,15.169
카스,40.352,147.821,84.001,132.717,15.105,136.338,2.246,247.821,118.447,44.985,14.816,81.769,32.936
케이바이오,91.407,9.401,735.219,8.972,0.429,43.435,4.24,109.401,43.25,60.297,4.068,151.872,6.746
케이옥션,55.694,79.553,65.572,71.713,7.841,132.53,24.32,179.553,122.894,26.189,14.875,35.481,56.799
케이티알파,56.537,76.877,200.531,74.737,2.139,27.005,0.766,176.877,26.439,84.732,0.857,554.977,1.012
케이피엠테크,52.434,90.715,59.268,81.644,9.071,142.326,28.321,190.715,130.49,25.372,7.183,33.998,28.312
큐렉소,91.029,9.855,1108.078,8.499,1.356,15.679,,109.855,15.47,85.727,36.179,600.639,42.203
큐로홀딩스,24.656,305.576,77.019,247.534,58.042,214.927,4.22,405.576,135.994,47.007,39.3,88.704,83.605
포니링크,80.384,24.402,513.354,15.713,8.677,42.398,72.768,124.402,39.013,64.843,14.249,190.26,21.975
폰드그룹,56.229,77.846,179.081,48.442,29.404,91.096,1.348,177.846,70.396,48.778,27.167,95.23,55.694
푸드나무,1.995,4913.097,44.639,4298.324,614.773,2808.973,4.397,5013.097,392.988,38.275,7.278,68.308,19.016
피씨디렉트,42.468,135.472,171.367,125.42,10.052,20.544,3.467,235.472,18.667,91.276,35.082,1046.199,38.435
하이퍼코퍼레이션,28.955,245.359,68.78,212.819,32.539,198.981,36.074,345.359,150.13,42.384,2.382,73.564,5.621
한국가구,79.126,26.38,278.541,16.293,10.087,80.998,0.573,126.38,73.576,35.909,18.279,56.029,50.904
한국정보공학,56.63,76.585,154.134,64.707,11.878,76.849,0.658,176.585,68.69,56.48,13.592,129.781,24.065
형지글로벌,45.35,120.506,108.546,95.459,25.047,116.889,9.131,220.506,93.476,46.991,27.929,88.645,59.436
홈캐스트,79.777,25.349,305.557,24.124,1.225,51.637,6.509,125.349,51.012,58.806,5.389,142.752,9.164
흥구석유,84.93,17.744,63.028,16.332,1.412,107.45,0.362,117.744,105.954,8.743,3.115,9.58,35.625
